Country,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,Unemployment_Rate_Mean
Sudan,17.49,17.52,17.53,17.58,17.65,17.554000000000002
Senegal,6.76,4.46,3.69,3.28,2.86,4.209999999999999
Singapore,3.79,4.08,4.2,3.64,3.1,3.7620000000000005
Solomon Islands,0.73,0.7,0.71,0.72,0.75,0.7219999999999999
Sierra Leone,4.74,4.66,4.66,4.66,4.65,4.6739999999999995
El Salvador,4.0,4.42,4.39,4.01,4.17,4.198
Somalia,18.9,18.89,18.88,18.85,18.83,18.87
Serbia,17.66,15.26,13.48,12.73,10.39,13.904000000000002
Sub-Saharan Africa (excluding high income),5.82,6.24,6.47,6.48,6.61,6.324
South Sudan,12.27,12.3,12.25,12.24,12.23,12.258000000000001
Sub-Saharan Africa,5.82,6.24,6.47,6.48,6.61,6.324
Small states,10.2,10.21,9.8,9.34,9.11,9.732
Sao Tome and Principe,13.82,13.89,13.97,14.06,14.14,13.975999999999999
Suriname,7.22,7.92,7.9,7.93,8.04,7.802
Slovak Republic,11.48,9.67,8.13,6.54,5.75,8.314
Slovenia,8.96,8.0,6.56,5.11,4.45,6.616
Sweden,7.43,6.99,6.72,6.36,6.83,6.866
Eswatini,23.33,22.72,22.75,22.79,22.84,22.886000000000003
Syrian Arab Republic,8.71,8.73,8.75,8.76,8.77,8.744
Chad,1.07,1.1,1.12,1.13,1.12,1.108
East Asia & Pacific (IDA & IBRD countries),4.12,4.04,3.93,3.81,3.91,3.9620000000000006
Europe & Central Asia (IDA & IBRD countries),7.63,7.45,7.09,6.69,6.78,7.128
Togo,2.2,2.97,3.74,3.73,3.72,3.272
Thailand,0.6,0.69,0.83,0.77,0.72,0.7220000000000001
Tajikistan,7.55,6.9,6.95,7.01,7.06,7.093999999999999
Turkmenistan,4.14,4.17,4.2,4.23,4.27,4.202
Latin America & the Caribbean (IDA & IBRD countries),6.68,7.8,8.09,7.98,8.04,7.718000000000001
Timor-Leste,4.45,4.66,4.76,4.73,4.51,4.622
Middle East & North Africa (IDA & IBRD countries),11.82,11.93,11.93,11.46,10.6,11.548
Tonga,2.55,2.57,2.82,3.07,3.06,2.814
South Asia (IDA & IBRD),5.14,5.15,5.12,5.12,5.02,5.11
Sub-Saharan Africa (IDA & IBRD countries),5.82,6.24,6.47,6.48,6.61,6.324
Trinidad and Tobago,2.43,3.21,3.28,3.34,3.42,3.136
Tunisia,15.16,15.56,15.33,15.46,15.13,15.328
Turkiye,10.24,10.84,10.82,10.89,13.67,11.292
Tanzania,2.14,2.16,2.18,2.21,2.22,2.1820000000000004
Uganda,1.91,1.92,1.93,1.92,1.92,1.92
Ukraine,9.14,9.35,9.5,8.8,8.19,8.996
Upper middle income,5.66,5.9,5.93,5.77,6.0,5.852
Uruguay,7.49,7.84,7.89,8.34,8.88,8.088
United States,5.28,4.87,4.36,3.9,3.67,4.4159999999999995
Uzbekistan,5.2,5.2,5.8,5.84,5.85,5.578
St. Vincent and the Grenadines,19.09,19.11,19.18,19.18,19.28,19.168
"Venezuela, RB",6.08,5.32,5.05,5.02,5.1,5.314
Virgin Islands (U.S.),12.62,12.68,12.32,12.43,12.47,12.504
Vietnam,1.85,1.85,1.87,1.16,2.04,1.754
Vanuatu,1.86,1.78,1.75,1.81,1.8,1.8000000000000003
World,5.62,5.66,5.56,5.39,5.36,5.518
Samoa,8.5,8.31,8.58,8.69,8.41,8.498
"Yemen, Rep.",13.77,13.43,13.3,13.15,13.06,13.341999999999999
South Africa,25.15,26.54,27.04,26.91,28.47,26.821999999999996
Zambia,10.13,10.87,11.63,12.01,12.52,11.431999999999999
Zimbabwe,4.78,4.79,4.78,4.8,4.83,4.796000000000001
