Country,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Malaysia,3.68772164252655,3.04160128473568,4.38394395688798,3.43515895806416,3.0608088603617
North America,2.12502673181814,0.879867724562359,1.68480932235562,2.34544203984983,1.57481896410086
Namibia,2.39612202094233,-1.79643348191252,-2.86362140425037,-0.825493378477319,-2.72466136719636
New Caledonia,,,,,
Niger,0.418328365503129,1.7372252956601,1.04675078565515,3.19595439522324,1.99706262597826
Nigeria,-0.0292823054560643,-4.1683884058564,-1.78881762090789,-0.679724707768486,-0.379752402189268
Nicaragua,3.43655908431992,3.22379915267035,3.30721604895172,-4.56925348119202,-4.85210864564721
Netherlands,1.50826618391271,1.64931554652068,2.30428473259315,1.76493726416223,1.28988912106223
Norway,0.95750076290291,0.185059679800673,1.50018092554136,0.453550486030423,0.0679926261787642
Nepal,3.55633538398823,-0.481931971808237,7.5210298922342,5.84871082835983,4.74451271488148
Nauru,2.85400109961513,2.58258544968496,-6.66497138119038,5.09401596169923,-0.798959494611665
New Zealand,1.61720893840365,1.42623836172024,1.47153285884679,1.37354364665912,0.0275641486978628
OECD members,1.91758970502384,1.17497614929995,1.87517731727644,1.77212491578133,1.23281289416374
Oman,-0.891334462262279,0.0775161835069582,-3.70965167080264,-2.14297956471468,-4.02112716672669
Other small states,1.00601330941561,0.914328291613998,-0.797213809829699,0.177206790600778,0.141020125191261
Pakistan,2.56646710358606,3.34791165243369,3.38392800367239,3.68103446177759,-0.880818100199619
Panama,3.94283658821021,3.17045468651418,3.79946361861217,1.94510324446577,1.29253637338742
Peru,1.96334440822348,2.42290485450216,0.829126308957157,2.19794844938977,0.565474347551628
Philippines,4.68187850526492,5.54671238464452,5.3966531060456,4.86730872952965,4.68037644699137
Palau,7.29556213562459,-0.382245190865746,-3.77798662719752,-0.676091287518872,-2.38673482560449
Papua New Guinea,4.46146503356071,3.3981627986184,1.49445565230526,-2.22916792257401,2.45900693393675
Poland,4.30581423680569,3.1860709143334,4.81757385257684,5.35391420222633,4.77053944228503
Pre-demographic dividend,0.287522637366607,-0.544236459707491,-1.22332706901062,-0.252547956331767,0.515221410271138
Puerto Rico,0.706704568897791,0.666133347916414,-0.509099448693803,-0.18737030505585,1.47401058298671
"Korea, Dem. People's Rep.",,,,,
Portugal,2.2144828853083,2.34182321593775,3.75909438887767,3.01412372965098,2.65839260557085
Paraguay,1.58379371049865,2.89685661490968,3.44894824730363,1.88363182374449,-1.65407082014168
West Bank and Gaza,1.37258508832343,6.44666146094556,-0.577622802403482,-1.30481419195327,-1.15161366535136
Pacific island small states,2.34332243132395,2.33094948275816,2.88092971299794,1.42664165742772,-0.568482158564322
Post-demographic dividend,1.84669282908385,1.31963861138979,2.00099299533332,1.92968585577864,1.42977045296266
French Polynesia,,1.75934560999676,3.71396037737055,2.6857110948952,2.37569410108811
Qatar,0.404893040090641,-0.37872450351378,-4.04077563441363,-0.837914028240689,-1.1032324087458
Romania,3.43874923608918,5.30536396716246,7.9415586584485,5.09011110670698,4.73858787008214
Russian Federation,-2.18388838737465,0.0102484619192325,1.70938991615724,2.81552569192898,2.07881130890352
Rwanda,6.1238343540962,3.24843958156001,1.26747309893398,5.74614049530018,6.64358394861513
South Asia,6.03166330373581,6.34803142694622,5.31482224129563,5.17880140146161,2.83316200716395
Saudi Arabia,1.47706007191984,-0.603769618995187,-2.71382744999026,0.605723335699551,-1.32503213598616
Sudan,-0.513715753423682,1.01519722915089,-1.67431434434694,-4.98142712901878,-4.48984342796072
Senegal,3.42150148451282,3.41182379733205,4.4411878629361,3.29534615117551,1.57049679945986
Singapore,1.77390780774796,1.99706567047267,4.42782016185458,3.01247744349737,0.192150836011294
Solomon Islands,-1.28374907121884,3.09286869328508,2.59550850505579,1.26530359076786,-1.35921200161332
Sierra Leone,-22.3120965034419,3.78444419301765,1.97222909064014,1.27738952655478,3.05763409073658
El Salvador,1.91334416315701,2.04553340356148,1.73469434223202,1.9119532499339,1.86206594609182
San Marino,1.27996647714281,1.63264134497325,-0.241968818318767,1.20511638524026,2.13285251799644
Somalia,11.7838973866835,5.43115533466543,-0.245105662672273,4.6722676697127,5.03920506752881
Serbia,2.31101588882194,3.88118476026682,2.64598586238259,5.0675948814029,4.89309425558007
Sub-Saharan Africa (excluding high income),0.104692762337493,-1.51806395925389,-0.255714010073504,0.0079433326435776,-0.075835226416558
South Sudan,-12.1317983603027,,,,
Sub-Saharan Africa,0.10637481737821,-1.51522565705609,-0.253685796474514,0.0073218204184968,-0.0768410645230233
Small states,0.997135395632625,0.573511458812632,-0.617346848615057,0.431553484727104,0.165187251709
Sao Tome and Principe,1.97731863125929,2.22623330931071,1.91077016859155,1.02033794510234,0.302078271457091
Suriname,-4.42304623547729,-5.88315311840861,0.567009681821375,3.94868880728451,0.163586537511492
Slovak Republic,5.11570678786038,1.80035277956956,2.82050737986216,3.6507463416053,2.46660937052457
Slovenia,2.13325802761534,3.11634660116351,4.74710618321161,4.04458737932572,2.53409090453896
Sweden,3.39017629600058,0.79614630049835,1.19514757132167,0.772577449000039,0.957561656419784
Eswatini,1.39265165153255,0.159392270274722,1.04568593576538,1.33859129669773,1.55315112546384
Sint Maarten (Dutch part),-2.54799742433998,-2.37652931021542,-7.20461872134864,-6.78379495252608,
Seychelles,2.6233915237341,3.17327021348123,3.46414233289319,0.804608597076964,0.296482430091345
Syrian Arab Republic,0.649743497767503,-2.75679041479127,1.42046689646867,2.37767882977195,2.98763280226586
Turks and Caicos Islands,9.43374831039085,5.55255842807325,-3.95617949031259,4.06605759859266,3.87129129429537
Chad,-0.490723968196917,-9.15694224466328,-5.92875313174368,-0.674920920026565,0.209664512309331
East Asia & Pacific (IDA & IBRD countries),5.86465044516562,5.77959080499659,5.89094758605964,5.81492412535094,5.16966159968879
Europe & Central Asia (IDA & IBRD countries),0.89654610187641,1.42012392318782,3.69545464673229,3.05793947779517,2.25097935177097
Togo,3.06917664636548,2.93357911261434,1.79243016113288,2.43974208945798,2.93818166189259
Thailand,2.72014084683276,3.05004792655492,3.81867425078065,3.86148228881737,1.97689245743686
Tajikistan,3.47738299697102,4.31428456351641,4.48656343288916,4.99210090647853,4.86305682399173
