Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Central Europe and the Baltics,12521.7914103908,12829.8963422228,14248.7481226245,16045.9536352205,16346.5549412626,4.18749728026775,3.3341439389951,5.13807439416311,4.69665312019339,4.21435963864975
Switzerland,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,0.507122105703075,0.9368837412635,0.641284065674213,2.16156965343124,0.491609144873692
Channel Islands,,,,,,,,,,
Chile,13574.1692377524,13753.5921485096,14998.8170563218,15888.144355397,14741.7144039936,1.10598439797978,0.372098730561632,-0.247251358761787,2.28112103495536,-0.245035756890886
China,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381719921,6.42073647723056,6.23821544775225,6.30186310052261,6.25170055569883,5.57453312716906
Cote d'Ivoire,1972.54568305836,2013.38144761651,2111.02655726645,2314.05095836881,2276.3323939018,4.52428897259003,4.49518428080961,4.65889956449088,4.1966214196201,3.5576825008911
Cameroon,1382.5097900241,1413.2559568153,1469.44749980724,1585.24053445546,1533.09568807789,2.87078784808867,1.79128797729706,0.84572071249174,1.27506372633268,0.835333750899835
"Congo, Dem. Rep.",497.317039077365,471.318822463486,467.07423172679,560.807358238634,580.716870645391,3.44259805623153,-0.907723599820514,0.401473697563162,2.46109271097485,1.11015954346362
"Congo, Rep.",2447.53930827041,2050.99341477232,2169.99150353963,2606.6153307839,2369.72949429109,-5.91664565572746,-13.0204296236603,-6.8092164100262,-7.23155796221506,-2.61495233462033
Colombia,6175.8760297026,5870.77795724165,6376.70671552601,6729.58333198168,6424.9794924083,1.75788371739232,0.70068863785022,-0.163409332080448,1.01285604228866,1.88927448744572
Comoros,1242.58560784999,1273.05095200255,1323.81484301294,1428.29046324322,1401.54231196814,-1.23086046150448,0.962061037426224,1.48233932576038,1.347332748425,-0.46527893172582
Cabo Verde,3043.03138156811,3130.99875340636,3289.90220261281,3616.46453749713,3603.77524058462,-0.23738747850534,3.44413344235974,2.47516943136586,3.32680146934304,4.48183015631996
Costa Rica,11642.7780517194,12011.2227544354,12225.5744931403,12485.423896168,12693.8279560372,2.53138328642916,3.10830677496124,3.09256633767137,1.60014007285719,1.28151371094327
Caribbean small states,10141.4153938201,9574.22148611917,9800.96588647345,10234.2111791244,10291.8073190241,0.386837467820115,-1.78374905437703,-0.534163387782698,1.2634535109904,0.0391755342826769
Cuba,7694.01463710941,8060.79659761513,8541.21368643707,8824.19400843842,9125.8786794952,4.27336160897438,0.422151606764217,1.7718207232533,2.25848146064915,-0.123773041706542
Curacao,19951.3279030441,19555.3658492891,19457.5315232205,19630.8934873019,19701.270377457,-1.03588398573132,-2.03087910494624,-2.05324118036593,-1.65097683750417,-2.23729770711994
Cayman Islands,76284.1939286359,78471.6287315261,81513.1630224977,86059.7392168454,91392.6425875166,1.37862026256323,1.84890054164606,1.85236328568278,2.91163927489984,2.57669161664211
Cyprus,23408.3366816249,24605.9208328767,26608.8750916456,29334.1109348657,29206.0767190775,3.97337740749985,5.96738631417672,4.87248695745734,4.41138580684543,3.86453264067046
Czech Republic,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317,5.18140265379816,2.34055226080498,4.88972204225595,2.85410811330968,2.62455743475904
