Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Turkmenistan,5.548,5.658,5.82200002670288,5.636,5.247,4.14,4.17,4.2,4.23,4.27,6432.68532538494,6387.68257527254,6587.09260439788,6967.37504258806,7612.03518009452,4.60627168562475,4.37907625854506,4.73730275911537,4.50768703055272,4.66863745339606
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,7.41,6.81,6.75,6.43,6.33,9260.44730250635,9681.61856689674,10484.9083620411,11208.3438184474,11097.168977137,3.41602394691346,3.76659648343872,3.72056764157287,3.70309459271954,2.97917002128392
Estonia,5.429,5.517,5.61100006103516,5.739,5.893,6.19,6.76,5.76,5.37,4.45,17395.040616214,18282.9233927131,20387.2831474612,23052.3012559586,23397.1200148694,1.78627469426176,3.12553830458751,5.66403908236126,3.77202331144019,3.71028576383254
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,4.51,4.3,3.88,4.4,3.62,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.20153132694,3.55506249544388,3.75883733214852,3.84119726442658,3.98782486089075,3.87144414151346
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,1.85,1.85,1.87,1.16,2.04,2085.10134910739,2192.17448247545,2365.52161506114,2566.4474870063,2715.27598010995,5.57052594829395,5.11813729007686,5.7280884115717,6.01639837930368,6.00103665097893
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,4.31,7.06,8.39,8.46,8.53,2687.48005643212,2176.00277201515,1968.56539847444,2027.77854863842,2229.8586518613,-0.0292823054560643,-4.1683884058564,-1.78881762090789,-0.679724707768486,-0.379752402189268
Bhutan,5.253,5.196,5.01100015640259,5.082,5.082,2.45,2.49,2.45,2.44,2.5,2752.63017233678,2930.5749227006,3286.59674376682,3243.47743748718,3322.86332871934,5.34825820294729,6.8323670597098,3.40861136657622,1.84848775239858,4.54973728489323
Azerbaijan,5.212,5.291,5.23400020599365,5.201,5.208,4.96,5.0,5.0,4.9,4.85,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,-0.103121433889072,-4.1771717983498,-0.778416065787681,0.624486167739761,1.63585041443849
Pakistan,5.194,5.132,5.26900005340576,5.472,5.653,3.57,3.78,3.92,4.08,3.54,1356.66783065763,1368.42696140417,1464.9261954181,1482.21306651797,1288.55632450434,2.56646710358606,3.34791165243369,3.38392800367239,3.68103446177759,-0.880818100199619
Jordan,5.192,5.303,5.33599996566772,5.161,4.906,13.08,15.28,18.14,18.27,16.81,4164.10876894014,4175.35660192301,4231.51827999134,4308.1510738997,4405.48710929391,-1.34990617092249,-1.07722100686,-0.328485920725498,0.0981917027262398,0.579046462795702
