Country,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019
Europe & Central Asia (IDA & IBRD countries),7.63,7.45,7.09,6.69,6.78
Togo,2.2,2.97,3.74,3.73,3.72
Thailand,0.6,0.69,0.83,0.77,0.72
Tajikistan,7.55,6.9,6.95,7.01,7.06
Turkmenistan,4.14,4.17,4.2,4.23,4.27
Latin America & the Caribbean (IDA & IBRD countries),6.68,7.8,8.09,7.98,8.04
Timor-Leste,4.45,4.66,4.76,4.73,4.51
Middle East & North Africa (IDA & IBRD countries),11.82,11.93,11.93,11.46,10.6
Tonga,2.55,2.57,2.82,3.07,3.06
South Asia (IDA & IBRD),5.14,5.15,5.12,5.12,5.02
Sub-Saharan Africa (IDA & IBRD countries),5.82,6.24,6.47,6.48,6.61
Trinidad and Tobago,2.43,3.21,3.28,3.34,3.42
Tunisia,15.16,15.56,15.33,15.46,15.13
Turkiye,10.24,10.84,10.82,10.89,13.67
Tanzania,2.14,2.16,2.18,2.21,2.22
Uganda,1.91,1.92,1.93,1.92,1.92
Ukraine,9.14,9.35,9.5,8.8,8.19
Upper middle income,5.66,5.9,5.93,5.77,6.0
Uruguay,7.49,7.84,7.89,8.34,8.88
United States,5.28,4.87,4.36,3.9,3.67
Uzbekistan,5.2,5.2,5.8,5.84,5.85
St. Vincent and the Grenadines,19.09,19.11,19.18,19.18,19.28
"Venezuela, RB",6.08,5.32,5.05,5.02,5.1
Virgin Islands (U.S.),12.62,12.68,12.32,12.43,12.47
Vietnam,1.85,1.85,1.87,1.16,2.04
Vanuatu,1.86,1.78,1.75,1.81,1.8
World,5.62,5.66,5.56,5.39,5.36
Samoa,8.5,8.31,8.58,8.69,8.41
"Yemen, Rep.",13.77,13.43,13.3,13.15,13.06
South Africa,25.15,26.54,27.04,26.91,28.47
Zambia,10.13,10.87,11.63,12.01,12.52
Zimbabwe,4.78,4.79,4.78,4.8,4.83
